类型          房间      价格      面积      窗      VIP       浴室      空调      预定者     楼层      酒店    序号     杀熟价
经济          101      50      14      无      无       无      无      无     1      青年旅馆    1     55
经济          102      70      14      有      无       无      无      无     1      青年旅馆    2     77
经济          201      80      14      有      无       无      无      无     2      青年旅馆    3     88
经济          202      100      14      有      无       无      有      无     2      青年旅馆    4     110
经济          203      120      14      有      有       无      有      无     2      青年旅馆    5     132
家庭          204      200      60      有      有       有      有      无     2      青年旅馆    6     220
家庭          205      300      60      有      有       有      无      无     2      青年旅馆    7     330
家庭          206      320      60      有      有       有      有      无     2      青年旅馆    8     340
家庭          301      350      60      有      有       有      有      无     3      青年旅馆    9     380
家庭          302      370      60      有      有       有      有      无     3      青年旅馆    10     400
豪华          303      400      80      有      有       有      有      无     3      青年旅馆    11     440
经济          101      110      14      有      无       无      有      无     1      梦溪酒店    12     121
经济          102      125      14      有      无       无      有      无     1      梦溪酒店    13     136
家庭          201      230      60      有      有       有      有      无     2      梦溪酒店    14     246
家庭          202      300      60      有      有       有      无      无     2      梦溪酒店    15     330
家庭          203      320      60      有      有       有      有      无     2      梦溪酒店    16     345
家庭          301      360      60      有      有       有      有      无     3      梦溪酒店    17     379
家庭          302      380      60      有      有       有      有      无     3      梦溪酒店    18     421
豪华          303      500      80      有      有       有      有      无     3      梦溪酒店    19     543
经济          101      55      14      无      无       无      无      无     1      如家宾馆    20     65
经济          201      72      14      有      无       无      无      无     2      如家宾馆    21     82
经济          202      85      14      有      无       无      无      无     2      如家宾馆    22     91
家庭          203      220      60      有      有       有      有      无     2      如家宾馆    23     234
家庭          204      330      60      有      有       有      无      无     2      如家宾馆    24     356
家庭          303      340      60      有      有       有      有      无     3      如家宾馆    25     365
